T_K,f_Na_over_ground,f_K_over_ground,f_Li_over_ground
2026.890756302521,1.1707272985202695e-05,0.00019061051642462989,5.08631195130763e-05
2036.1344537815125,1.236547276511558e-05,0.00019879294632334853,5.336564990367472e-05
2045.3781512605042,1.3054221972494683e-05,0.0002072478772520447,5.59670064498709e-05
2054.621848739496,1.3774614287264372e-05,0.00021598144694600616,5.867003714777661e-05
2063.8655462184875,1.4527769213015197e-05,0.0002249998474483783,6.14776357073868e-05
2073.109243697479,1.5314832261108052e-05,0.00023430932387898432,6.439274135268545e-05
2082.3529411764703,1.6136975125775475e-05,0.00024391617318649097,6.741833860291755e-05
2091.596638655462,1.699539585012043e-05,0.000253826742884886,7.055745703529188e-05
2100.8403361344535,1.789131898292015e-05,0.00026404742977521016,7.381317102938966e-05
2110.084033613445,1.882599572615295e-05,0.0002745846786535112,7.71885994935705e-05
2119.327731092437,1.9800704073173085e-05,0.00028544498100594053,8.068690557366761e-05
2128.5714285714284,2.0816748937467197e-05,0.00029663487369192663,8.43112963442841e-05
2137.81512605042,2.1875462271935174e-05,0.00030816093761634506,8.806502248300224e-05
2147.0588235294117,2.2978203178645182e-05,0.0003200297963915831,9.195137792783279e-05
2156.3025210084033,2.412635800902148e-05,0.0003322481149903977,9.597369951823526e-05
2165.546218487395,2.532134045443198e-05,0.00034482259839044706,0.00010013536662004704
2174.7899159663866,2.6564591627148966e-05,0.000357759990211357,0.00010443980073467176
2184.0336134453783,2.7857580131665723e-05,0.0003710670713451853,0.00010889046509287321
2193.27731092437,2.920180212635872e-05,0.00038475065858111255,0.00011349086423353845
2202.5210084033615,3.059878137549199e-05,0.00039881760322519954,0.00011824454356776998
2211.764705882353,3.205006929156844e-05,0.00041327478971599934,0.00012315508892867606
2221.0084033613443,3.355724496804008e-05,0.0004281291342368419,0.00012822612610723075
2230.252100840336,3.512191520239518e-05,0.0004433875833255575,0.00013346132037458063
2239.4957983193276,3.6745714509647874e-05,0.00045905711248240053,0.00013886437599117593
2248.7394957983192,3.8430305126262916e-05,0.0004751447247769277,0.00014443903570310955
2257.983193277311,4.017737700455365e-05,0.000491657449454564,0.0001501890802260464
2267.2268907563025,4.198864779759866e-05,0.0005086023405435583,0.0001561183277171315
2276.470588235294,4.386586283472805e-05,0.0005259864754630396,0.00016223063323526332
2285.714285714286,4.581079508763613e-05,0.0005438169536328445,0.0001685298881901217
2294.957983193277,4.78252451271844e-05,0.000562100895085792,0.0001750200197803392
2304.2016806722686,4.9911041070963406e-05,0.0005808454390830442,0.00018170499042120973
2313.4453781512602,5.207003852168541e-05,0.0006000577427331746,0.0001885887971623158
2322.689075630252,5.4304120496490926e-05,0.0006197449796155803,0.00019567547109547586
2331.9327731092435,5.6615197347250174e-05,0.0006399143384088145,0.00020296907675339173
2341.176470588235,5.900520667195089e-05,0.0006605730215244236,0.00021047371149938708
2350.4201680672268,6.147611321726517e-05,0.0006817282437468512,0.00021819350490862456
2359.6638655462184,6.402990877239481e-05,0.0007033872308799563,0.00022613261814118403
2368.90756302521,6.666861205429824e-05,0.0007255572184006645,0.00023429524330738794
2378.1512605042017,6.939426858440455e-05,0.0007482454501202749,0.00024268560282575345
2387.3949579831933,7.22089505569278e-05,0.0007714591768539047,0.0002513079487739462
2396.638655462185,7.511475669889488e-05,0.0007952056550985579,0.0002601665622331201
2405.8823529411766,7.81138121220068e-05,0.0008194921457202718,0.0002692657526260026
2415.126050420168,8.120826816645306e-05,0.000844325912650788,0.00027860985704911053
2424.36974789916,8.440030223680684e-05,0.0008697142215941779,0.0002882032395994471
2433.613445378151,8.769211763012817e-05,0.0008956643387438272,0.00029805029069605345
2442.8571428571427,9.108594335640619e-05,0.0009221835295101851,0.0003081554263967684
2452.1008403361343,9.458403395147316e-05,0.000949279057259642,0.0003185230877105512
2461.344537815126,9.818866928253052e-05,0.0009769581820649191,0.0003291577399057166
2470.5882352941176,0.00010190215434642125,0.0010052281594673008,0.00034006387181443167
2479.831932773109,0.0001057268190607925,0.0010340962392510545,0.0003512459951338131
2489.075630252101,0.00010966501804829204,0.0010635696642303499,0.0003627086437239578
2498.3193277310925,0.00011371913041394092,0.0010936556690489805,0.00037445637290324746
2507.563025210084,0.00011789155951583243,0.0011243614789931819,0.00038649375874124584
2516.8067226890753,0.00012218473272930272,0.0011556943088178134,0.0003988253973495143
2526.050420168067,0.0001266011012047286,0.0011876613615861727,0.00041145590417066333
2535.2941176470586,0.00013114313961909346,0.001220269827523671,0.0004243899132659439
2544.53781512605,0.0001358133459214866,0.0012535268828856281,0.0004376320766016957
2553.781512605042,0.00014061424107268008,0.0012874396888393831,0.00045118706333494615
2563.0252100840335,0.00014554836877893988,0.0013220153903609384,0.0004650595590984518
2572.268907563025,0.00015061829522022854,0.001357261115146325,0.0004792542652854846
2581.5126050420167,0.00015582660877295375,0.0013931839725378737,0.000493775898334625
2590.7563025210084,0.00016117591972741684,0.0014297910524655561,0.0005086291890148672
2600.0,0.00016666886000012236,0.0014670894244035544,0.0005238188817112822
